,Unnamed: 0,公司名称,注册地址-国家代码,全球行业分类标准（GICS）代码,最新的报表日期,报表模板（3类）,合并报表代码,"总收入
千 CNY
最新可用年份","员工数量
最新可用年份",ISIN索引号,公司简介,主营业务单元情况,主要经营活动,主要产品和服务,国内主要国家,国外主要国家或地区,公司成立日期,公司成立年份
3138,3139.0,TYE Soon Limited,SG,25501010.0,2023-12-31,IND,C1,1378499.20170435,n.a.,SG1BH8000001,"This company, formerly known as Tye Soon & Company Ltd., is engaged in the wholesale and retail distribution of motor vehicle spare parts and accessories. It was founded in 1933 and has its registered headquarters in Singapore, Singapore.The company is considered as the leading distributor of automotive components in Singapore as well as one of the largest automotive components stockists in the region. It is involved in the import, export and distribution of automotive parts, and property investment. The company is focused on maintenance and replacement automotive parts for the region's vehicles. It offers various European, Japanese and Korean brands. It distributes various automotive parts, including electrical and aircon parts, transmission parts, chassis and body parts, engine parts and brake parts. It distributes a range of parts for Toyota, Mitsubishi, Nissan, Honda, Mazda, Subaru, Daihatsu, Hino, Isuzu, Mitsubishi Fuso, Nissan UD, Hyundai, Kia and GM Daewoo. It serves in Singapore, Malaysia, Thailand, Indonesia, Hong Kong/China, South Korea and Australia. It offers electrical and aircon parts, such as actuator, air mass sensor, alternator, bulbs, cables, coil ignition, control unit, evaporator, relay, sensors, switches, voltage regulator, window motor and electrical horns.The company's common shares are traded on the Singapore Exchange under the stock code T08.",Engaged in the wholesale and retail distribution of motor vehicle spare parts and accessories,Wholesale; Retail,"Electrical and aircon parts, transmission parts, chassis and body parts, engine parts and brake parts; Electrical and aircon parts, such as actuator, air mass sensor, alternator, bulbs, cables, coil ignition, control unit, evaporator, relay, sensors, switches, voltage regulator, window motor and electrical horns",Singapore,"Malaysia, Thailand, Indonesia, Hong Kong/China, South Korea and Australia",1957-01-01,1957.0
2391,2392.0,QAF LTD,SG,30202030.0,2023-12-31,IND,C1,3405426.65827998,n.a.,SG1A49000759,"This company operates as a leading multi-industry food firm which operates under four business segments: food manufacturing, bakery, primary production, and trading and logistics. It was founded in 1958 and formerly known as Ben and Company Limited. It has its registered office located in Singapore. The company's food manufacturing segment is engaged in producing and distributing of food and beverages, and fruit juice-concentrates. The bakery segment offers bread, loaf bread, confectionery, and bakery products. Its primary production business is involved in processing and marketing of meat; feedmilling and sale of animal feeds and related ingredients. The trading and logistics segment engages in the trading and distribution of food and beverage products; and provision of warehousing logistics for food items. In addition, the company is involved in the operation of supermarkets and rental of premises. The company primarily operates in Singapore, Malaysia, the Philippines, China and Australia. It is committed to enhancing shareholder value by strengthening its market position, expanding distribution networks, providing consumers with quality healthy food options, and developing strategic core businesses.","Operates as a leading multi-industry food firm which operates under four business segments: Food manufacturing, bakery, primary production, and trading and logistics",Manufacturing; Services,"Multi-industry food firm which operates under four business segments: Food manufacturing, bakery, primary production, and trading and logistics",Singapore,Malaysia; Philippines; China; Australia,1958-01-01,1958.0
4049,4050.0,F J Benjamin Holdings LTD,SG,25504010.0,2023-12-31,IND,C1,465265.438600202,622,SG1D58018368,"It is a holding company primarily engaged in the management and administration of its subsidiaries and affiliates. The company provides group planning and strategy, exercises financial control over its subsidiaries, settles their general policy and appoints their top managements, as well as provides central services. Its corporate headquaters is located in Singapore City, Singapore.With a rich heritage dating back to 1959, the company is an industry leader in brand building and in developing retail and distribution networks for international luxury and lifestyle brands across Asia. Listed on the Singapore Exchange in November 1996, it has offices in eight cities, represents more than 20 iconic brands, operates more than 170 retail stores/shop-in-shops, and has four core businesses: luxury and lifestyle retailing and distribution, timepiece distribution, creative and licensing, and investing in lifestyle concepts.Its Mission: It strives to lead in everything it does - implementing strategies with deep market penetration, creating superior customer experiences, empowering employees for phenomenal growth, and delivering sustainable and superior returns to its shareholders. Its Vision: To be a global company, dedicated to delivering its promise to its customers by fulfilling their lifestyle aspirations.The company is also located in Malaysia, Hong Kong, Australia, Taiwan and the United States of America.",Holding company primarily engaged in the management and administration of its subsidiaries and affiliates,Services,Management and administration of its subsidiaries and affiliates,Singapore,Malaysia; Hong Kong; Australia; Taiwan; United States of America,1959-01-01,1959.0
4187,4188.0,Khong Guan Limited,SG,30101020.0,2023-07-31,IND,C1,389656.102319201,n.a.,SG1E13001268,"This investment holding company, formerly known as Khong Guan Flour Milling Limited, trades in wheat flour and other edible products primarily in Singapore and Malaysia. It was incorporated in 1960 and is based in Singapore, Singapore.The company operates through three segments: trading of wheat flour and consumer goods, investment trading, and investment holding. It is involved in the wholesale of wheat flour, general goods, biscuits, consumer goods, and related products, as well as animal feed. In addition, it trades in shares listed in Singapore, Malaysia, and Hong Kong.The company operates as a subsidiary company of UOB Kay Hian Private Limited, a company which operates as a national commercial bank that provides financial services; and Dimensional Fund Advisors Inc., an open-end management investment company.",Investment holding company,Services; Wholesale,"Trading of wheat flour and consumer goods, investment trading, and investment holding",Singapore,,1960-01-01,1960.0
3435,3436.0,Cosco Shipping International (Singapore) CO LTD,SG,20301010.0,2023-12-31,IND,C1,974186.388093838,n.a.,SG1S76928401,"This company, formerly known as COSCO Investment (Singapore) Limited, is an investment holding firm that provides ship repairing, ship building, and marine engineering services primarily in the People's Republic of China and Singapore. The company's services include ship repair, conversion, and jumbolisation; new builds; and oil rig repair and construction services. It also transports dry bulk cargos, such as grain, iron ore, coal, steel, cement, and fertilizer through 12 dry bulk carriers with a capacity of 698,306 dwt serving shipping companies and cargo owners. In addition, the company offers various services comprising document preparation, collection of freight, cargo operation, vessel husbanding, customs declaration, port authority coordination, administration and settlement of cargo claims, transshipment management, bunkering services, container handling, cargo canvassing, and other value-added services. Further, it provides container repairs and other services; and fabrication works services, as well as produces marine outfitting components. Additionally, the company offers property management services; overhaul, repair, commissioning, and spare-parts replacement services for governors, turbochargers, and engine fuel systems; ship corrosion control services; and design, manufacture, sale, and technical services relating to vessels and industrial instruments, as well as trades and invests in properties. It is also involved in owning and chartering ships; providing shipyard financing; and marketing and selling shipbuilding and offshore project activities. The company was incorporated in 1961 and has its registered head office located in Singapore, Singapore. It is listed on the Singapore Exchange under the stock code F83.","Investment holding firm that provides ship repairing, ship building, and marine engineering services primarily in the People's Republic of China and Singapore",Services,Investment holding; Management services to its subsidiaries,Singapore,China,1961-01-01,1961.0
2994,2995.0,NSL LTD,SG,15102010.0,2023-12-31,IND,C1,1624608.30657771,n.a.,SG1F87001375,"This investment company is engaged in the management of holding firms. It was established in 1961 as The National Iron and Steel Mills to support Singapore's nation-building efforts in infrastructural and residential development. The company has its head office in Singapore.The company has subsidiaries that manufactures and sells iron and steel products as well as services, including Eastern Services Steel Pte. Ltd., NatFerrous Pte. Ltd., NSL Engineering (UK) Ltd., Natsteel Trade International Pte. Ltd. and Banyan Three Holdings Limited.The company is functional through its subsidiaries. It is comprised of three business divisions: the chemicals business division, the engineering business division and the construction products business division. The chemicals business division engaged in manufacturing lime products, industrial water treatment chemicals, oily sludge and slop treatment, as well as processing of steel slag to roadstone. The engineering business division is involved in the manufacture of container spreaders. Lastly, the construction products business division which includes building products manufacturing such as cement and pre-cast concrete. The company is active and operational in Singapore, Asian countries (China, Thailand, Hong Kong, Malaysia and Indonesia), and other countries, including the United Kingdom, Australia and Finland.",Engaged in the management of holding firms,Services,Management of holding firms,Singapore,China; Thailand; Hong Kong; Malaysia and Indonesia; United Kingdom; Australia; Finland,1961-01-01,1961.0
6219,6220.0,HL Global Enterprises Limited,SG,25301020.0,2023-12-31,IND,C1,33247.591278678,n.a.,SG1AI6000003,"This company, formerly known as HLG Enterprise Limited, is primarily engaged in the management and administration of its subsidiaries and affiliates. Incorporated in September 1961, it has its registered office in Singapore City, Singapore. As a holding company, it provides group planning and strategy. In particular, the company also exercises financial control over its subsidiaries, settles their general policy and appoints their top managements as well as provides central services. It owns enough voting stock in another company to control management and operations by influencing or electing its board of directors. The company's group is active in the hospitality and restaurant segments, as well as property development segments.",Engaged in the management and administration of its subsidiaries and affiliates,Services,Holding company,Singapore,,1961-09-21,1961.0
5852,5853.0,ICP LTD,SG,20303010.0,2023-12-31,IND,C1,53677.0585313868,n.a.,SG2G87000003,"The company, based in Singapore, operates as a holding company whose subsidiaries are involved in the marketing, sale, and distribution of electronic components, hard disk drive components, and other computer related products. It was incorporated in the year 1962 and was formerly known as Gold Coin Ltd. Its registered business address is located in the city of Singapore.The company is involved in holding the securities of its subsidiaries for the purpose of owning a controlling interest and influencing the management decisions of these firms. In addition, it is also responsible in the provision of a range of corporate services for its subsidiaries including the areas of financing, investment, legal affairs, tax affairs and other related services.","Operates as a holding company whose subsidiaries are involved in the marketing, sale, and distribution of electronic components, hard disk drive components, and other computer related products",Services,"A holding company whose subsidiaries are involved in the marketing, sale, and distribution of electronic components, hard disk drive components, and other computer related products",Singapore,,1962-01-01,1962.0
3327,3328.0,Yoma Strategic Holdings LTD,SG,60201030.0,2023-09-30,IND,C1,1108740.73244319,5432,SG1T74931364,"This company operates as an investment holding company that, through its subsidiaries, is engaged in the development and sale of private residential properties. The company was incorporated in 1962. It was formerly known as Sea View Hotel Limited and changed its name to Yoma Strategic Holdings Limited in August of 2006. The registered head office of the company is located in Singapore, Singapore.The company's subsidiaries are involved in the development of land; construction activities; design and project management for real estate developments; and provision of advises on the design of developments, and allocation and deployment of resources, as well as the marketing and sale of projects to end buyers. Its portfolio of development properties include apartments, condominiums, semi-detached houses, and bungalows. In addition, the company's subsidiaries is also engaged in the provision of pilling and construction services; ready mix concrete production; and super-structure construction works.The company serves as the leading business corporation with interests and activities in Myanmar. It aims to be a multinational corporation with a diversified portfolio of businesses located in numerous countries across the Asia Pacific.","Investment holding company that, through its subsidiaries, is engaged in the development and sale of private residential properties",Services,Development and sale of private residential properties,Singapore,,1962-01-01,1962.0
3927,3928.0,Chemical Industries (Far East) LTD,SG,15101010.0,2023-09-30,IND,C1,531954.187398082,n.a.,SG1B37000984,"This company is engaged in the manufacture of chlorine, caustic soda and other chlor-alkaline products. It was established in 1963. The registered business office of the company is located in Singapore, Singapore. The company is a prime supplier of basic chemicals to the petro-chemical, pharmaceutical, electronics, polycarbonate and water-treatment industries. It offers basic chemicals, such as chlorine, sodium hydroxide, sodium hypochlorite, and hydrochloric acid, as well as hydrogen to the petro-chemical, pharmaceutical, electronics, polycarbonate, and water-treatment industries. It also manages and rents commercial properties. In addition, the company operates as a general carrier; and general merchant, importer, and exporter of chemicals.","Engaged in the manufacture of chlorine, caustic soda and other chlor-alkaline products",Manufacturing,"Chlorine, caustic soda and other chlor-alkaline products",Singapore,,1962-03-16,1962.0
1255,1256.0,UOL Group Limited,SG,60201010.0,2023-12-31,IND,C1,14617671.6291558,n.a.,SG1S83002349,"This company operates as a holding company for subsidiaries engaged in real estate, retail, and hospitality businesses. It conducts its business from its registered head office located in Singapore, Singapore. It was established in 1963 and was formerly known as Faber Union Ltd.The company operates and manages hotels and resorts in Singapore, Australia, Vietnam, Malaysia, Myanmar, China, the United States, Canada, Japan, Thailand, Indonesia, the Philippines, and India. It also operates restaurants; and manages and operates health and beauty retreats and facilities. In addition, the company involves in the investment, development, and management of various properties, including office, commercial, and residential properties, as well as retail malls and serviced apartments.The company aims to be a goal-seeking and inspiring, working together to fulfill the aspirations of its stakeholders; to be insightful of its customers' needs, striving to deliver products and services above their expectations; and to be a positive influence in all that it does.","Operates as a holding company for subsidiaries engaged in real estate, retail, and hospitality businesses",Services,"A holding company for subsidiaries engaged in real estate, retail, and hospitality businesses",Singapore,Australia; Vietnam; Malaysia; Myanmar; China; United States of America; Canada; Japan; Thailand; Indonesia; Philippines; India,1963-01-01,1963.0
2314,2315.0,Singapore Land Group Limited,SG,60201010.0,2023-12-31,IND,C1,3732468.75420958,n.a.,SG1K37001643,"This company, based in Singapore, operates as a property development and investment company. It was founded in 1963 and conducts business from its registered head office located in London. The company's property portfolio includes some of Singapore's best known commercial and retail landmarks as well as residential projects in prime and suburban areas. Its overseas investments include properties in Shanghai, Beijing and Tianjin, China and London, United Kingdom. Its operation is organized in four divisions: Property Investment, Property Trading, Hotel Operations, and Technologies. The Property Investment division leases commercial office property; provides property management services; and invests in retail centers. The Property Trading division develops properties for trading. The Hotel Operations division operates hotels and restaurants. The Technologies division distributes computers and related products; and provides systems integration and networking infrastructure services.",Operates as a property development and investment company,Services,A property development and investment company,Singapore,China; United Kingdom,1963-01-01,1963.0
5858,5859.0,Pacific Century Regional Developments LTD,SG,40201030.0,2023-12-31,IND,C1,52951.272145641,n.a.,SG1J17886040,"This company is engaged in a range of businesses, including the provision of a range of whole life, endowment, term life insurance and related products, as well as investment and development of infrastructure and properties. Its registered head office is located in Singapore, Singapore. It was incorporated in 1963. The company has four main business segments: infrastructure and property covers the company's property portfolio in India, mainland China and Singapore; investment holdings include its overseas investments and the provision of management services within the company; insurance covers its insurance operations in Hong Kong, and hotel covers the company's hotel operations in Vietnam. Its interests in financial servicexs are held through Pacific Century Insurance Holdings Limited (PCIH).","Engaged in a range of businesses, including the provision of a range of whole life, endowment, term life insurance and other related products, as well as investment and development of infrastructure and properties",Services,"Whole life, endowment, term life insurance and other related products in Hong Kong and investment and development of infrastructure and properties",Singapore,,1963-01-01,1963.0
988,989.0,Frasers Property Limited,SG,60201030.0,2023-09-30,IND,C1,21312082.214185,7330,SG2G52000004,"This company is primarily engaged in property development, investment and management of commercial property, serviced residences and property trusts. It had a humble beginning as owner and operator of a single shopping mall in Orchard Road. It was founded in 1988 as Centrepoint Properties Limited. The company's corporate headquarters is located in Alexandra Point, Singapore.It is one of Singapore's largest listed property companies by market capitalisation. The company's property portfolio comprises properties located in Singapore and overseas, ranging from residential and commercial developments to shopping malls, serviced residences and office and business space properties. They are represented by the following four main brands/divisions - Frasers Centrepoint Homes (for Singapore residential development properties), Frasers Property (for overseas development properties), Frasers Centrepoint Commercial (for shopping malls, office and business space properties) and Frasers Hospitality (for serviced residences).Its Vision: The solution to all real estate needs globally. Its Mission: A fully-integrated global real estate company built on trust and integrity. It will remain focused on providing fully-integrated real estate solutions for a complete spectrum of property classes, be it in residential, office, shopping mall, serviced apartments or real estate investment trusts.","Engaged in property development, investment and management of commercial property, serviced residences and property trusts",Services,"Property development, investment and management of commercial property, serviced residences and property trusts",Singapore,,1963-01-01,1963.0
2617,2618.0,Wing TAI Holdings LTD,SG,60201030.0,2023-12-31,IND,C1,2577725.19346383,n.a.,SG1K66001688,"This company, based in Singapore, is recognized as one of the regional's leading property and lifestyle companies. It is an investment holding company with a key focus on growth markets in Asia. It was founded in 1955. It conducts business from its registered head office located in Singapore. It is also active in Malaysia, Hong Kong, and China.Through a network of companies under the Wing Tai Asia brand, viz. Wing Tai Holdings Limited (Singapore), Wing Tai China Pte Ltd, Wing Tai Malaysia Berhad (Malaysia), Wing Tai Properties Limited (Hong Kong) and their subsidiaries, the company has core businesses in property investment and development, fund management, lifestyle retail and hospitality management in key Asian markets. It aims to achieve winning partnerships with its business partners, customers and staff and to build trust and long-term relationships has resulted in a strong track record of quality and an extensive portfolio of product.",Operates as a property and lifestyle company,Services,Operates as a property and lifestyle company,Singapore,Malaysia; Hong Kong; China,1963-01-01,1963.0
852,853.0,City Developments LTD,SG,60201010.0,2023-12-31,IND,C1,27030665.5214926,n.a.,SG1R89002252,"This company is an international real estate operating company engaged in providing real estate development services. The company was incorporated in 1963, and is based in Singapore, Singapore.The company is one of Singapore's largest companies by market capitalisation. Its income-stable and geographically-diversified portfolio comprises residences, offices, hotels, serviced apartments, integrated developments and shopping malls. The company has hotel assets in one of the world's largest hotel groups. Its London-listed subsidiary, Millennium & Copthorne Hotels plc (M&C), has over 130 hotels globally. The company has developed more than 40,000 homes and is one of Singapore's largest commercial landlords, with one of the biggest landbanks amongst Singapore private-sector developers. The company aims to build quality and innovative spaces to house desirable homes, competitive businesses and secure investments.",An international real estate operating company engaged in providing real estate development services,Services,Real estate development services,Singapore,,1963-01-01,1963.0
643,644.0,Seatrium Limited,SG,20106010.0,2023-12-31,IND,C1,40379554.4584073,n.a.,SG1H97877952,"This company, formerly known as Shipyard Ltd., is an investment holding firm for subsidiaries engaged in ship repairing, shipbuilding, ship converting, rig building, topsides fabricating and offshore engineering. The company was incorporated in 1963 and has its registered head office in Singapore, Singapore.As a holding firm, it takes controlling and supervisory measures and provides technical and scientific management holding services to its operating companies and enterprises as well as the local units. Its principal services include business support services, management consulting and open-end management investments, and other investment advisory financial services. Through its operating entities, the company is considered as the leading marine engineering group in the world. Its subsidiaries provide a full range of ship repair services to tankers such as very large crude carriers (VLCCs) and ultra large crude carriers (ULCCs), chemical tankers, container vessels, passenger ships, gas carriers (liquefied petroleum gas and liquefied natural gas), dredgers, bulk carriers, derrick barges and navy vessels. One of the company's subsidiaries is SMOE Pte Ltd., the world's leading constructor of offshore production platforms and floating production facilities for the oil and gas sector. The company has business operations in Singapore, China, Brazil and the United States. Further, the company's common shares are traded on the Singapore Exchange under the stock code S51.","An investment holding firm for subsidiaries engaged in ship repairing, shipbuilding, ship converting, rig building, topsides fabricating and offshore engineering",Services,"Takes controlling and supervisory measures and provides technical and scientific management holding services to its operating companies and enterprises as well as the local units; Business support services, management consulting and open-end management investments, and other investment advisory financial services; Full range of ship repair services to tankers such as very large crude carriers (VLCCs) and ultra large crude carriers (ULCCs), chemical tankers, container vessels, passenger ships, gas carriers (liquefied petroleum gas and liquefied natural gas), dredgers, bulk carriers, derrick barges and navy vessels",Singapore,,1963-01-01,1963.0
